source,keyword,title,authors,doi,publication_date,journal,abstract
PubMed,aortic stenosis,One-Year Outcomes of Myval Versus Contemporary Transcatheter Heart Valves in Severe Aortic Stenosis: A Systematic Review and Meta-Analysis.,Faisal A Al-Harbi; Ahmad Khalaf Alanazi; Norah Abdullah Algoblan; Sayer Samawi Aldhafeeri; Layan Bader Alrashoodi; Mohammed Ahmad Alamer; Ola Fozan Alquraishi; Alhanouf Abdalmahsn Alresaini; Norah Mohammed Almutiq; Mohammad Saad Aljibreen; Lamis Faisal Alwabili; Naser Kolko,10.1097/CRD.0000000000001459,2026-09-01,Cardiology in review,"The Myval and Myval Octacor transcatheter heart valves (THVs) are newer-generation balloon-expandable devices for transcatheter aortic valve implantation (TAVI) in severe aortic stenosis (AS), but comprehensive synthesis of 1-year outcomes incorporating recent randomized data remains limited. We searched PubMed/MEDLINE, Embase, and CENTRAL through June 2026 for randomized controlled trials and propensity-matched or adjusted observational studies comparing Myval/Myval Octacor with contemporary THVs in adults undergoing transfemoral TAVI for severe symptomatic AS. The primary outcome was 1-year all-cause mortality; secondary outcomes included cardiovascular death, stroke, new permanent pacemaker implantation (PPI), mean transvalvular gradient, effective orifice area, and moderate-to-severe aortic regurgitation. Random-effects meta-analyses generated pooled risk ratios (RRs) and mean differences with 95% confidence intervals. Five studies (2 randomized trials, 3 propensity-matched/adjusted cohorts; 2327 patients: 1107 Myval, 1220 contemporary THV recipients) were included. At 1 year, Myval showed comparable outcomes to contemporary THVs for all-cause mortality (RR 0.89, 0.66-1.21), cardiovascular death (RR 0.92, 0.55-1.55), and stroke (RR 1.41, 0.91-2.18), with similar new PPI rates (RR 0.82, 0.47-1.42). Among randomized trials, Myval had lower mean transvalvular gradients (MD -1.28 mm Hg, -1.73 to -0.82) and larger effective orifice area (mean difference +0.15 cm2, 0.09-0.20) than SAPIEN, with no significant difference in moderate-to-severe aortic regurgitation (RR 1.28, 0.19-8.71). Myval demonstrated comparable all-cause mortality, cardiovascular death, stroke, and PPI rates to contemporary THVs at 1 year, along with favorable hemodynamics versus SAPIEN, supporting Myval as an effective contemporary TAVI platform; longer-term studies are needed to confirm durability and clinical outcomes."
PubMed,aortic stenosis,Intraprocedural echocardiographic guidance in transcatheter aortic valve implantation.,Tai Meng Chen; Mohammed Rizwan Amanullah; See Hooi Ewe,10.1186/s44348-026-00094-5,2026-09-01,Journal of cardiovascular imaging,"Transcatheter aortic valve implantation (TAVI) is an established treatment for severe aortic stenosis across all surgical risk groups. Traditionally performed under general anesthesia with transesophageal echocardiography (TEE) guidance, TAVI has evolved toward a minimalist approach using local anesthesia and conscious sedation (LACS), supported by transthoracic echocardiography (TTE) or fluoroscopy alone. Despite this shift, intraprocedural imaging remains valuable as it offers real-time imaging guidance throughout the procedures, allowing for rapid and accurate assessment of complication and procedural results. Echocardiographic modalities used during TAVI include TTE, TEE (adult-, mini-, or micro-TEE) and intracardiac echocardiography (ICE), each with its own advantages and limitations. While TTE is widely used in uncomplicated cases, its image quality may be suboptimal, leading to missing complications and underestimation of paravalvular leak (PVL). In contrast, TEE provides superior spatial resolution, enabling comprehensive real-time assessment and improved PVL detection and other complications. Moreover, 3D TEE offers accurate assessment of the aortic annulus and aids in sizing of the prosthesis when computed tomography is suboptimal or unavailable. ICE is an attractive alternative as it provides real-time high-resolution images and can be performed under LACS by the same operator, although it is costly with single use and requires additional venous access. ICE may be particularly helpful in patients with challenging TTE windows, or in those with contraindications for TEE. We propose an upfront intraprocedural TEE strategy in patients with high-risk anatomies undergoing TAVI, and those with poor TTE window or renal impairment in whom minimal contrast usage is preferred. Mini-TEE (with a smaller probe) is the preferred modality for intraprocedural guidance, which has 3D imaging with good resolution, and is well tolerated under LACS. In conclusion, imaging strategies in TAVI should be individualized. While minimalist approaches are feasible, TEE remains indispensable in complex cases to optimize outcomes and minimize complications."
PubMed,aortic stenosis,Lipoprotein(a): Cardiovascular Risk and Emerging Targeted Therapies.,José Pablo Miramontes González,10.1007/s40256-026-00825-5,2026-08-31,"American journal of cardiovascular drugs : drugs, devices, and other interventions","Lipoprotein(a) [Lp(a)] is a genetically determined, low-density lipoprotein-like particle that has emerged as an important and independent contributor to atherosclerotic cardiovascular disease and calcific aortic valve stenosis. Elevated Lp(a) concentrations, defined as approximately 125 nmol/L (≥ 50 mg/dL) by most consensus thresholds, affect an estimated 20% of the general population and confer lifelong inherited cardiovascular risk that is not adequately captured by standard lipid panels. Epidemiological, observational and genetic studies consistently show that elevated Lp(a) concentrations are associated with increased risk of coronary heart disease, myocardial infarction, ischemic stroke, peripheral artery disease and calcific aortic valve stenosis. Unlike low-density lipoprotein (LDL) cholesterol, Lp(a) levels remain relatively stable throughout life and are only minimally influenced by lifestyle interventions or most conventional lipid-lowering therapies. This creates a clinically relevant therapeutic gap, particularly in patients with premature cardiovascular disease, recurrent events despite optimal LDL cholesterol control, or otherwise unexplained residual risk. Traditional lipid-lowering strategies remain essential to reduce global cardiovascular risk, but they have limited ability to directly modify Lp(a)-mediated risk. PCSK9 inhibitors and inclisiran produce modest (approximately 20-30%) Lp(a) reductions, and lipoprotein apheresis may be useful in highly selected patients, but none represents a broadly applicable Lp(a)-specific therapy. Recent advances have changed this landscape. Antisense oligonucleotides, small interfering RNA therapies and oral small-molecule inhibitors have demonstrated profound and durable Lp(a) reductions, frequently exceeding 80-100% with small interfering RNA (siRNA)-based agents (olpasiran, zerlasiran, lepodisiran), up to 80% with the antisense oligonucleotide pelacarsen, and up to 85% with the oral small-molecule muvalaplin, in phase 1 and phase 2 clinical trials. However, the central question remains whether pharmacological Lp(a) lowering translates into fewer cardiovascular events. Current evidence supports strong biological efficacy, but definitive proof of clinical benefit awaits ongoing randomized cardiovascular outcomes trials, including Lp(a)HORIZON (pelacarsen), OCEAN(a)-Outcomes (olpasiran) and ACCLAIM-Lp(a) (lepodisiran). This narrative review summarizes the biology and epidemiological relevance of Lp(a), quantifies its association with cardiovascular events, reviews the effect of traditional lipid-lowering therapies on Lp(a) and critically discusses emerging Lp(a)-targeted treatments and future directions."
PubMed,aortic stenosis,"Clonal hematopoiesis and atherosclerotic cardiovascular disease: Clinical implications, biological mechanisms, and emerging therapeutic strategies.",Chi-Yuan Yao; Yen-Chun Chen; Bing-Ru Tsai; Jeng-Wei Chen; Chih-Yang Chan; Wen-Jone Chen; Lian-Yu Lin; Wen-Chien Chou; Yi-Lwun Ho; Li-Tan Yang,10.1016/j.jfma.2026.08.052,2026-08-31,Journal of the Formosan Medical Association = Taiwan yi zhi,"Clonal hematopoiesis (CH), defined by the age-related expansion of hematopoietic stem cells harboring somatic driver mutations, has emerged as a novel and clinically relevant contributor to atherosclerotic cardiovascular disease (ASCVD). Once considered primarily a precursor to hematologic malignancy, CH is now recognized as a systemic pro-inflammatory state linking somatic evolution to cardiovascular pathology. Epidemiological studies consistently demonstrate that CH is independently associated with increased risks of coronary artery disease, heart failure, aortic stenosis, and cardiovascular mortality. Mechanistically, CH-associated mutations-most commonly in DNMT3A, TET2, and ASXL1-reprogram immune cells toward a pro-inflammatory phenotype, characterized by activation of the NLRP3 inflammasome and increased cytokine production, thereby promoting endothelial dysfunction, atherogenesis, and adverse cardiac remodeling. These insights have catalyzed the development of targeted therapeutic strategies, particularly anti-inflammatory interventions, as well as approaches aimed at modulating clonal expansion and leveraging cardiometabolic agents. Clinically, incorporation of CH genotype and clonal burden into risk assessment may refine cardiovascular risk stratification and guide personalized prevention strategies. In this review, we summarize current evidence on the biological mechanisms linking CH to ASCVD, its clinical implications across cardiovascular phenotypes, and emerging therapeutic approaches. Collectively, CH represents a paradigm shift toward inflammation-driven precision cardiology."
PubMed,aortic stenosis,When the Valve Narrows: Maternal and Neonatal Implications of Aortic Stenosis in Pregnancy.,Mary Marchese; Nina K Ayala,10.1542/neo.27-9-046,2026-09-01,NeoReviews,
PubMed,aortic stenosis,A novel convolution-transformer model for differentiating hypertrophic cardiomyopathy from Phenocopies using cardiac MRI.,Xudong Guo; Shimin Zhou; Yunli Shen; Xin Gong; Qinfen Jiang; Jie Ding; Yihong Yang; Linqi Zhang,10.1016/j.mri.2026.110780,2026-08-31,Magnetic resonance imaging,"Hypertrophic Cardiomyopathy (HCM) is the most prevalent inherited cardiomyopathy. Its left ventricular hypertrophy (LVH) phenotype exhibits substantial radiological overlap with HCM phenocopies such as Hypertensive Heart Disease (HHD) and Cardiac Amyloidosis (CA), posing significant challenges to clinical differential diagnosis. Differentiating HCM from its phenocopies and normal hearts on cardiac MRI is an important but difficult task. This study leveraged a cardiovascular magnetic resonance foundation model to develop a deep learning approach that enables accurate and automated differentiation among HCM, normal controls, and HCM phenocopies.
We integrated 463 cases from a multi-center dataset comprising two public benchmarks, ACDC and M&Ms2, along with a clinical cohort from a tertiary medical center. The final cohort included 207 HCM cases, 166 normal controls, and 90 cases of HCM phenocopies (including HHD, CA, and aortic stenosis, among other etiologies). To address the challenge of differential diagnosis in HCM, a tailored network was developed based on the Convolution-Transformer hybrid backbone of the CineMA cardiac MRI foundation model. The architecture employs a dual-head multi-task learning design: a primary classification head performs three-class diagnosis (HCM vs. Normal vs. Other), while an auxiliary classification head targets fine-grained discrimination between HCM and non-HCM myocardial hypertrophy. A Boundary Prior Attention Module (BPAM) was further integrated into the convolutional encoder, utilizing left ventricular myocardial segmentation masks as anatomical priors to guide spatially selective feature modulation. A three-stage progressive transfer learning strategy was implemented, transitioning from frozen backbone to partial unfreezing and finally to global optimization, with class-weighted cross-entropy and Focal Loss to address class imbalance.
The proposed method achieved an accuracy of 85.6% ± 1.7%, a macro-averaged F1-score of 0.840 ± 0.019, and an ROC AUC of 0.954 ± 0.008 under five-fold cross-validation, significantly outperforming the randomly initialized baseline (F1-score 0.704 ± 0.021, AUC 0.853 ± 0.014). HCM detection achieved a recall of 85.5% ± 2.4%, indicating a low rate of missed diagnoses in this high-risk population. Ablation experiments demonstrated that pretrained weights, the dual-head architecture, the progressive training strategy, and BPAM contributed incremental AUC gains of +6.5%, +1.2%, +1.1%, and + 1.3%, respectively.
The CineMA-based framework incorporating dual-head multi-task learning, three-stage progressive transfer learning, and anatomy-guided boundary prior attention achieves robust and accurate differentiation among HCM, normal controls, and HCM phenocopies. The approach demonstrates promising potential for AI-assisted HCM screening and clinical decision support across multi-center, multi-device settings."
PubMed,aortic stenosis,Sex-specific assumptions underlie cardiovascular digital twin technologies: A narrative review.,Bettine G van Willigen; Henk A Marquering; Wouter Huberts; Joris R de Groot,10.1371/journal.pdig.0001692,2026-08,PLOS digital health,"Digital twin technologies (DTTs) are increasingly applied in cardiovascular medicine to support personalized treatment. At the same time, growing evidence demonstrates sex differences in cardiovascular anatomy, physiology, disease presentation, and outcomes. Whether current cardiovascular DTTs adequately incorporate these sex-specific characteristics is unclear. This narrative review examines how sex bias and inclusivity are addressed within cardiovascular DTTs and identifies where sex-related bias may arise within different components of DTT. A six-dimensional digital twin framework is introduced to review DTTs. We focus on three cardiovascular domains: coronary artery disease, aortic valve stenosis, and atrial fibrillation. For each domain, we assessed sex representation in modeling assumptions, data interpretation, clinical outputs, and validation studies. Within three domains, physiological assumptions, boundary conditions, interpretation thresholds, and validation cohorts, models are frequently derived from sex-skewed populations. DTTs estimating noninvasive fractional flow reserve are predominantly validated in male-dominated cohorts, potentially resulting in lower precision in women. In contrast, validation studies for DTTs in TAVI planning show variable sex distributions, with some cohorts being female-skewed and others male-skewed, raising questions about their generalizability across sexes. In both model-based DTTs, sex bias may arise from generalized boundary conditions. Electro-anatomical mapping systems for atrial fibrillation are susceptible to sex bias within measurement methodology. Uniform clinical thresholding and outcome selection bias further add to sex-bias in DTTs. Current cardiovascular DTTs insufficiently account for sex-specific cardiovascular characteristics, risking underperformance in underrepresented populations. Incorporating sex-aware physiological parameters, sex-stratified validation, balanced datasets, and transparent reporting should be considered minimal standards for future clinical implementation."
PubMed,aortic stenosis,"Effect on Lipoprotein(a) Oxidized Phospholipids of Lepodisiran, an Extended-Duration siRNA Targeting Lipoprotein(a).",Steven E Nissen; Ann Marie Navar; John H Krege; Wei Ni; Julie St John; Stephen J Nicholls; Xi Shen; Kathy Wolski; Laura F Michael,10.1016/j.jacc.2026.07.015,2026-08-31,Journal of the American College of Cardiology,"Lipoprotein(a) [Lp(a)] is a largely genetically determined causal risk factor for atherosclerotic cardiovascular disease and aortic stenosis, likely mediated in part by oxidized phospholipids (OxPL) bound to apolipoprotein(a) [apo(a)] and apolipoprotein B (apoB). Lepodisiran, an extended-duration small interfering RNA demonstrated large and durable reductions in Lp(a) in a phase 2 trial.
The purpose of this study was to assess effects of lepodisiran on OxPL-apo(a) and -apoB levels, their relationship to Lp(a) and apoB lowering, whether reductions are proportional to particle reduction, and whether changes correlate with biomarkers of systemic inflammation.
The randomized, placebo-controlled phase 2 trial enrolled 320 participants at 66 global centers. The current post hoc analysis included 213 of 320 participants who received placebo or lepodisiran 16, 96, or 400 mg at baseline and day 180 and had OxPL levels measured at baseline, day 240, and day 360. Placebo-adjusted percent change from baseline in OxPL-apo(a) and -apoB were assessed. Correlations between percent change in Lp(a), OxPL-apo(a), and -apoB were also determined.
Median baseline OxPL-apo(a) and -apoB levels were 122.0 nmol/L (Q1, Q3: 105.1, 137.7 nmol/L) and 27.7 nmol/L (Q1, Q3: 22.5, 36.2 nmol/L) for all participants. Placebo-adjusted geometric mean percent changes in OxPL-apo(a) at day 240 were -21.9% (95% CI: -45.0% to 11.0%), -65.1% (95% CI: -73.8% to -53.6%), and -94.2% (95% CI: -95.7% to -92.2%) in the 16-, 96-, and 400-mg dose groups, respectively. Percent changes in OxPL-apoB at day 240 in these dose groups were -39.5% (95% CI: -51.2% to -25.0%), -76.9% (95% CI: -80.6% to -72.5%), and -88.5% (95% CI: -90.4% to -86.3%), respectively. The percent change in OxPL-apo(a) at day 360 were -23.7% (95% CI: -47.0% to 9.8%), -41.6% (95% CI: -56.4% to -21.6%), and -80.7% (95% CI: -85.7% to -73.9%) in the 16-, 96-, and 400-mg dose groups, respectively. The percent changes in OxPL-apoB at day 360 in these dose groups were -30.6% (95% CI: -46.4% to -10.2%), -57.1% (95% CI: -65.2% to -47.2%), and -79.9% (95% CI: -83.8% to -75.2%), respectively. Percent change in OxPL-apo(a) correlated more closely than OxPL-apoB with percent change in Lp(a) than did OxPL-apoB. There was no significant correlation between changes in high-sensitivity C-reactive protein and OxPL.
Lepodisiran produced sustained reductions in OxPL-apoB and OxPL-apo(a) levels that correlated with Lp(a) lowering. These findings provide additional biological rationale for the ongoing lepodisiran phase 3 cardiovascular outcomes trial, but do not establish clinical benefit. (A Study of LY3819469 in Participants With Elevated Lipoprotein(a) [Lp(a)]; NCT05565742)."
PubMed,aortic stenosis,Timing of PCI in Patients Undergoing Transcatheter Aortic-Valve Implantation.,Barbara E Stähli; Frank Ruschitzka; Dirk Westermann; Axel Linke; Norman Mangner; Nicolas M Van Mieghem; Rahel Kesterke; Laura Oberholzer; Jürgen Rothe; Constantin von Zur Mühlen; Tobias Zeus; Won-Keun Kim; Philipp Lauten; Nikos Werner; Christof Burgdorf; Hannes Alber; P Christian Schulze; Michael Joner; Jonathan Michel; Alessandro Candreva; Philipp Jakob; Michael Würdinger; Julia Stehli; Alexander Gotschy; Christian Templin; Omer Dzemali; Luise Gaede; Steffen Massberg; Alexander Lauten; Frank van der Kley; Aydan Ewers; Thomas Nestelberger; Mohamed Abdel-Wahab; Giuseppe Musumeci; Sebastian Barth; Michael Hansen; Andreas Mügge; Moritz Seiffert; David M Leistner; Thomas Cuisset; Steffen Schneider; Adnan Kastrati; Ian Ford; Markus A Kasel; TAVI PCI Investigators,10.1056/NEJMoa2606924,2026-08-30,The New England journal of medicine,"Approximately one half of patients undergoing transcatheter aortic-valve implantation (TAVI) have concomitant coronary artery disease. Although percutaneous coronary intervention (PCI) is often performed before TAVI, the preferred treatment strategy has not been established.
We conducted an international, open-label, randomized, noninferiority trial at 48 centers in Europe. Patients with severe aortic stenosis and coronary artery disease were randomly assigned in a 1:1 ratio to a strategy of either TAVI before PCI (TAVI-first group) or PCI before TAVI (PCI-first group). The primary end point was a composite of death from any cause; nonfatal myocardial infarction; ischemia-driven revascularization; rehospitalization related to the valve, procedure, or heart failure; or life-threatening, disabling, or major bleeding at 1 year after randomization. The noninferiority margin was 6.6 percentage points, with testing for noninferiority of TAVI first as compared with PCI first.
A total of 986 patients underwent randomization: 498 were assigned to the TAVI-first group and 488 to the PCI-first group. A primary end-point event occurred in 105 patients (22.2%) in the TAVI-first group and in 112 patients (24.2%) in the PCI-first group (risk difference, -2.0 percentage points; 95% confidence interval, -7.4 to 3.4; P<0.001 for noninferiority). Serious adverse events occurred in 264 patients in the TAVI-first group and in 273 patients in the PCI-first group.
Among patients with severe aortic stenosis and coronary artery disease, a strategy of TAVI before PCI was noninferior to a strategy of PCI before TAVI with respect to the primary end point at 1 year. (Funded by University Hospital Zurich and others; TAVI PCI ClinicalTrials.gov number, NCT04310046.)."
PubMed,aortic stenosis,Prognostic Value of Artificial Intelligence ECG-Derived Diastolic Function in Surgical Aortic Valve Replacement.,Tedy Sawma; Hartzell V Schaff; Sina Danesh; Arman Arghami; Eunjung Lee; Masoomeh Aslahishahri; John Stulak; Kevin Greason; Joseph A Dearani; Francisco Lopez-Jimenez; Paul A Friedman; Sorin Pislaru; Zachi I Attia; Jae K Oh; Juan A Crestanello,10.1161/JAHA.126.050492,2026-08-30,Journal of the American Heart Association,"Diastolic dysfunction is common in patients with aortic stenosis and may influence outcomes following surgical aortic valve replacement. We aimed to examine the association of preoperative artificial intelligence (AI)-generated diastolic function grades with early and late outcomes following aortic valve replacement and how postoperative progression influence prognosis.
We identified 5503 patients undergoing aortic valve replacement between 2000 and 2023. Diastolic function was assessed using a validated deep-learning AI model applied to 12-lead ECGs done preoperatively and on postoperative follow-up. Diastolic grades were classified by AI into Grades 1 to 3. Longitudinal trend analyses and multivariable regression models were used to assess study end points.
Among 5503 patients (mean age 72.4±10.8 years; 39% female), higher AI ECG diastolic grades were associated with greater comorbidity burden, including diabetes, renal disease, and heart failure. AI ECG diastolic Grade 3 was independently associated with higher in-hospital mortality (odds ratio, 2.5; P=0.007) and other complications. At 5-year follow-up, patients with Grade 3 showed the least improvement in diastolic function by both ECG and echocardiography. Grades 2 and 3 diastolic function at baseline were independently associated with increased late mortality (hazard ratio, 1.3 and 2.45, respectively; both P<0.001). Additionally, lack of improvement in AI ECG diastolic grade by 1 year was also independently associated with late mortality.
AI ECG-derived diastolic function grades strongly correlates with early complications and long-term mortality and diastolic progression after aortic valve replacement. AI ECG provides a powerful, noninvasive tool for risk stratification and longitudinal monitoring of patients with aortic stenosis."
