source,keyword,title,authors,doi,publication_date,journal,abstract
PubMed,aortic stenosis,Discrete subaortic stenosis: prognostic value of the left ventricular outflow tract gradient and implications for earlier surgical intervention.,Yu-Tong Jiang; Ting-Ting Zhang; Li Zhang; Nan Xu; Bing Zhang; Jia-Qi Zhang; Ke-Ming Yang; Shou-Jun Li; Kun-Jing Pang,10.1007/s12519-026-01048-z,2026-06-11,World journal of pediatrics : WJP,"The optimal timing of surgery for discrete subaortic stenosis (DSS) is controversial due to limited evidence from large-scale trials. This study aimed to identify prognostic factors and reassess current surgical thresholds.
A total of 508 patients with DSS, including 375 pediatric patients, who underwent surgery at a single tertiary center between May 2018 and March 2025 were retrospectively analyzed. The primary endpoint was a composite of DSS-related adverse events, and the secondary endpoint was aortic valve (AV) dysfunction. Multivariable Cox regression and receiver operating characteristic (ROC) analyses were used to identify predictors.
Over a mean follow-up period of 3.5 years, 19.2% of pediatric patients experienced the primary endpoint and 13.3% developed AV dysfunction. Left ventricular outflow tract gradients (LVOTG) ≥ 20 mmHg [hazards ratio (HR) = 4.0, 95% confidence interval (CI): 2.0-7.8, P < 0.001], ≥ 35 mmHg (HR = 6.1, 95% CI: 3.2-11.6, P < 0.001), and ≥ 50 mmHg (HR = 3.5, 95% CI: 1.9-6.4, P < 0.001) were all independently associated with adverse outcomes. Of note, an LVOTG ≥ 35 mmHg provided comparable prognostic accuracy to ≥ 50 mmHg (P = 0.180) but superior risk discrimination compared with 20 mmHg ≤ LVOTG < 35 mmHg (P < 0.001). Additional independent predictors included older age at surgery, moderate or greater aortic regurgitation.
An LVOTG threshold of ≥ 35 mmHg may offer a more appropriate risk-alert threshold than the current ≥ 50 mmHg standard. Earlier surgical intervention, particularly in patients with AV involvement, may help improve long-term outcomes in DSS."
PubMed,aortic stenosis,Evaluation of a multi-component intervention aimed at reducing time to treatment in transcatheter aortic valve implantation: Protocol for a cluster randomized controlled trial.,Karine Chevreul; Morgane Michel; Amira J Hariz; Delphine Béziau-Gasnier; Bernard Iung; Eric Durand; Romain Didier; Martine Gilard; Hélène Eltchaninoff,10.1016/j.acvd.2026.05.003,2026-05-28,Archives of cardiovascular diseases,"Transcatheter aortic valve implantation (TAVI) has become widely used to treat symptomatic patients with aortic stenosis (AS), but increasing demand has led to treatment delays, which are associated with increased morbi-mortality.
To reduce time to treatment in patients awaiting a TAVI, we constructed a multi-component intervention which includes (1) a paper- and internet-based component aimed at improving AS and TAVI knowledge and (2) an organizational component aimed at TAVI centres to improve scheduling of examinations and procedures. Their effectiveness, cost-effectiveness and implementation were evaluated in a cluster randomized controlled trial (cRCT).
The cRCT (NCT_05237804) used a factorial design to evaluate the two components of the intervention, alone and together. The cluster was the TAVI centre. As patients may be referred to TAVI centres by regional hospitals, participating regional hospitals were included in the cluster of their referral TAVI centre. Clusters were allocated to one of four treatment groups after stratification on annual number of TAVI procedures, presence of a coordinating nurse and participation of a regional hospital. Patients aged ≥18 years with symptomatic AS and a TAVI indication were included in the study. The expected sample size was 798 patients. The primary outcome is the percentage of patients treated within 2 months of the TAVI indication. Secondary outcomes are time to treatment, mortality, quality of life, knowledge regarding TAVI and AS, medication compliance and incremental cost-effectiveness ratios. Implementation measures include dose, fidelity, adaptations, reached population, satisfaction and acceptability.
Overall, 828 patients have been enrolled. Data had not been analysed at the time the protocol was submitted."
PubMed,aortic stenosis,Stroke after transcatheter aortic valve implantation: the limits of progress.,Taishi Okuno; Marlon Villaga Gatuz,10.1136/heartjnl-2026-328363,2026-06-11,Heart (British Cardiac Society),
PubMed,aortic stenosis,Risk and Outcomes of Reintervention After Transcatheter Aortic Valve Implantation.,Sundos Alabbadi; Nana Toyoda; Shinobu Itagaki; Natalia N Egorova,10.1016/j.athoracsur.2026.05.048,2026-06-11,The Annals of thoracic surgery,"Concerns about transcatheter aortic valve implantation (TAVI) durability and failure management are increasing. This study assessed the time-varying risk and outcomes of reintervention after TAVI in Medicare patients.
Between 2013 and 2022, 2,387 out of 324,701 (0.7%) TAVI patients underwent reintervention. Bayesian survival analysis was used to identify three intervals based on the change in the hazard of reintervention after TAVI. Multivariable Bayesian models were used to assess the association between survival or heart failure (HF) hospitalizations and intervals controlling for relevant confounders.
Three intervals of reintervention were identified: early <3.5 years post TAVI, mid-term 3.5-< 7 years, and late ≥7 years. The hazard rate of reinterventions increased after TAVI from 0.26% during the early interval to 0.35% at mid-term and to 0.98% at the late interval. The most frequent cause for reintervention was valve stenosis, and it increased in mid-term (60.4%) and late (70.8%) intervals vs. early (31.3%), P<0.001. The rate of valve-in-valve procedures increased from 53.9% in the early interval to 79.6% in mid-term and to 97.2% in late interval. The 30-day and 1-year mortality risk was similar for all intervals. The adjusted risk of HF hospitalization was higher after early vs mid-term or late reinterventions.
The hazard of reinterventions after TAVI increased over time with a major rise after 7 years. Mortality after reintervention was similar in different intervals, however, the HF risk of readmission was higher after early reinterventions. Post-TAVI care should be adapted to the increasing risk of reintervention over time."
PubMed,aortic stenosis,"Shortcuts and ""the way"": management of moderate aortic stenosis during coronary artery bypass grafting.",J Trent Magruder; Vinod H Thourani,10.1016/j.athoracsur.2026.06.003,2026-06-11,The Annals of thoracic surgery,
PubMed,aortic stenosis,Research status and prospective directions of ferroptosis in the pathogenesis of vascular calcification.,Jingjing Ke; Hualong Zang; Dan Peng; Ping Wang,10.1016/j.tice.2026.103672,2026-06-09,Tissue & cell,"Ferroptosis is a recently identified form of regulated cell death, characterized by iron-dependent accumulation of intracellular reactive oxygen species. It plays a significant role in the onset and progression of various immune-mediated diseases and has become a focal point in contemporary biomedical research. Vascular calcification (VC) is associated with a range of cardiovascular diseases, including myocardial infarction stroke, aortic and peripheral artery disease, heart failure, chronic kidney disease, diabetes mellitus, and aortic valve stenosis, posing significant threats to public health. However, therapeutic options remain limited, highlighting the urgent need for further investigation. In recent years, several pioneering studies have indicated that ferroptosis activation significantly contributes to the progression of VC. These findings have attracted growing attention from researchers across related disciplines. Nevertheless, the underlying mechanisms are not yet fully understood, indicating the necessity for further exploration. This study focuses on a special review of the molecular regulatory pathways of ferroptosis and VC, systematically summarizes the confirmed core pathways, explores the potential regulatory directions, and discusses the clinical transformation value combined with the mechanism, so as to provide exclusive and practical theoretical reference and research ideas for the in-depth research in this field and the targeted therapy of VC."
PubMed,aortic stenosis,Impact of Concomitant Mitral Regurgitation in Moderate Aortic Stenosis: Assessment of Remodeling and Clinical Outcomes.,El-Moatasem Gabr; Mianli Xiao; Mujtaba Saeed; Amr Darwish; Akila Bersali; Aneesh Dhore-Patil; Thammarak Songsangjinda; Edward A Graviss; Neal S Kleiman; Maan Malahfji; Dipan J Shah,10.1016/j.jcmg.2026.04.015,2026-06-10,JACC. Cardiovascular imaging,"Patients with moderate aortic stenosis (AS) and concomitant mitral regurgitation (MR) often present with symptoms despite neither lesion individually reaching intervention thresholds. The clinical impact of this dual valvular disease remains a knowledge gap.
The aims of this study were to evaluate the effect of concomitant MR on cardiac remodeling and clinical outcomes in patients with moderate AS using cardiac magnetic resonance (CMR) and to compare with isolated moderate and severe AS.
A total of 742 patients with at least moderate AS on CMR (422 with moderate AS, 320 with severe AS) were studied. Patients were stratified by AS severity and MR burden. Remodeling parameters, symptoms, and outcomes, including cardiovascular death and heart failure hospitalization, were analyzed. Multivariable Cox models identified covariates associated with outcomes.
Among 422 patients with moderate AS, 76 had moderate or greater MR. Compared with isolated moderate AS, combined AS and MR was associated with higher symptom burden (80.3% in NYHA functional classes II-IV), more pronounced remodeling (larger indexed left ventricular volumes, lower left ventricular ejection fractions), and reduced aortic forward flow. Over a median 1.8 years, coexisting moderate or greater MR was independently associated with cardiovascular death or heart failure hospitalization (adjusted HR: 1.86; 95% CI: 1.31-2.65; P < 0.001). This risk was more apparent in the low-flow subgroup (stroke volume index ≤35 mL/m2), whereas in normal-flow patients, there was a trend toward increased risk that did not reach statistical significance. Outcomes in moderate AS with moderate or greater MR were worse than in isolated severe AS and comparable with severe AS populations meeting criteria for intervention.
Patients with moderate AS and MR constitute a high-risk subgroup with high symptom burden, adverse cardiac remodeling, and poor clinical outcomes. Risk appears more pronounced in the setting of reduced forward flow (stroke volume index ≤35 mL/m2). CMR enables the quantitative assessment of dual valvular burden and may improve risk stratification. These findings highlight a therapeutic gap and support studies of earlier intervention in this high-risk subgroup."
PubMed,aortic stenosis,Feasibility of Robotic Hybrid CABG and Transcarotid TAVI for Severe Aortic Stenosis and Coronary Disease.,Uthman Aluthman; Salman W Bafageeh; Hani I Barnawi; Osama A Abdulrahman; Sireen Murshid; Mohammad Alrefai; Nabeel Ismael,10.1016/j.jaccas.2026.108031,2026-06-10,JACC. Case reports,"Managing severe aortic stenosis and multivessel coronary disease is challenging in patients with elevated surgical risk and hostile iliofemoral anatomy.
A 70-year-old man with severe aortic stenosis, multivessel coronary disease, and advanced peripheral artery disease presented with decompensated heart failure. Given prohibitive transfemoral access and elevated surgical risk, a single-admission staged hybrid strategy was pursued. The patient underwent robotic hybrid coronary aortic bypass grafting (RHCABG), followed 48 hours later by transcarotid transcatheter aortic valve implantation (TAVI). Both procedures succeeded, yielding an uncomplicated recovery and marked functional improvement.
This case demonstrates the feasibility of combining RHCABG with alternative-access transcatheter valve replacement for high-risk patients unsuitable for conventional surgery.
Combining RHCABG and transcarotid TAVI is feasible for high-risk patients. Transcarotid access is a valuable TAVI alternative given hostile iliofemoral anatomy. Single-admission staged hybrid procedures may reduce overall morbidity and recovery time."
PubMed,aortic stenosis,Successful Balloon Valvuloplasty for Paravalvular Leak 4 Months After TAVR in a Bicuspid Aortic Valve.,Mohammed Mosaad; Saleh Algazlan; Khalid Alshamardl; Abdelmohsen Alsalman; Hafiz Omer; Awadelkarim Elneama; Mohammed Alghamedi; Abdulaziz Algathami,10.1016/j.jaccas.2026.108690,2026-06-10,JACC. Case reports,"Late detection of paravalvular leak (PVL) after transcatheter aortic valve replacement (TAVR) presents unique treatment challenges, especially in bicuspid valves, likely because of valve geometry and the mechanism of percutaneous anchoring.
A 70-year-old man underwent TAVR for bicuspid aortic stenosis using a balloon-expandable valve. Moderate to severe PVL was detected 4 months later. A multidisciplinary team evaluated the PVL etiology, patient anatomy, and available treatment options including valve-in-valve and plug closure. A partially fused commissural raphe causing focal underexpansion was identified as the origin of PVL, and late balloon valvuloplasty was performed successfully.
Unlike surgical-valve PVL, where percutaneous plug closure is the main treatment option, post-TAVR PVL offers additional approaches. Multimodality imaging helps define mechanism, feasibility, and risk.
Late balloon valvuloplasty is a safe option for underexpanded TAVR in bicuspid valves. Assessment of calcified raphe anatomy and the underexpansion site guides procedural risk and informs treatment selection."
PubMed,aortic stenosis,Impact of Geographic Factors on Outpatient Cardiac Rehabilitation Adherence After Transcatheter Aortic Valve Implantation.,Naonori Tashiro; Yusuke Matsumoto; Shouta Abe; Toshiki Kitajima; Yuya Yokota; Shinji Koba; Toshiro Shinke,10.1253/circrep.CR-25-0290,2026-06-10,Circulation reports,"Transcatheter aortic valve implantation (TAVI) results in shorter hospital stays and earlier discharge than conventional aortic valve replacement. Postoperative cardiac rehabilitation (CR) can improve the 6-min walk distance, activities of daily living, and mental function; however, the outpatient CR (OCR) attendance rate in Japan remains low, which limits its benefits. In this study, we investigated the effect of geographic factors on OCR adherence in patients who underwent TAVI.
This single-center retrospective cohort study included 95 patients with aortic stenosis admitted for TAVI at Showa Medical University Hospital between January 2019 and December 2023. The participants were categorized into the OCR continuation and non-participation (non-OCR) groups. Primary evaluations included road distance, travel time by car, and straight-line distance to the hospital, and postoperative physical function changes. Geographic factors did not differ significantly between the 2 groups at OCR initiation. However, OCR group-restricted analysis revealed that participants who completed the 5-month OCR program had significantly shorter travel times than those who discontinued. A receiver operating characteristic curve analysis revealed that travel time by car was a significant predictor of OCR dropout (optimal cut-off 19.5 min).
This study revealed that geographic accessibility did not affect OCR initiation post-TAVI; however, it significantly impacted long-term adherence. Specifically, a travel time of >20 min led to program discontinuation."
PubMed,aortic stenosis,Prognostic Significance of Upstroke Time per Cardiac Cycle in Coronary Artery Disease Patients With Normal Ankle-Brachial Index.,Joh Akama; Takeshi Shimizu; Yuuki Muto; Yu Sato; Takatoyo Kiko; Akihiko Sato; Tomofumi Misaka; Takashi Kaneshiro; Akiomi Yoshihisa; Kazuhiko Nakazato; Takafumi Ishida; Yasuchika Takeishi,10.1253/circrep.CR-26-0057,2026-06-10,Circulation reports,"Whether upstroke time (UT) predicts outcomes after percutaneous coronary intervention (PCI) in patients with normal ankle-brachial index (ABI) remains unclear.
In a registry, 713 patients with ABI 0.90-1.40 and no atrial fibrillation or known severe aortic stenosis were analyzed. UT was measured from brachial-ankle pulse volume recordings and classified as <180 or ≥180 ms. Prolonged UT was associated with high risk of unplanned revascularization for de novo lesions (adjusted hazard ratio 1.84, P=0.015).
UT prolongation indicates risk of de novo revascularization after PCI despite normal ABI."
PubMed,aortic stenosis,A novel speckle-tracking index for predicting mortality following transcatheter aortic valve replacement.,Yuanqi Yang; Xi Li; Wenxia Zhou; Yuyan Cai; Yujia Liang; Zhengang Zhao; Qiao Li; Jiafu Wei; Yong Peng; Wei Meng; Yuan Feng; Hong Tang; Xin Wei; Mao Chen,10.21037/qims-2025-1-2713,2026-06-01,Quantitative imaging in medicine and surgery,"(TAVR) are associated with cardiac damage, especially in those with pulmonary hypertension (PH) and right ventricular (RV) dysfunction. RV dyssynchrony is a novel prognostic indicator in PH patients, but its prognostic value in TAVR patients is unclear. We aimed to assess the prognostic value of RV dyssynchrony in TAVR patients.
A total of 1,052 consecutive patients with severe aortic stenosis (AS) undergoing TAVR between April 2012 and December 2021 were studied. The primary endpoint was 3-year mortality. RVSD4 was defined as the standard deviation of the times to peak-systolic strain for the four mid-basal RV segments by two-dimensional (2D) speckle-tracking echocardiography (STE), and RV dyssynchrony was defined as RVSD4 >18 ms.
After 3-year follow-up, 182 patients (17.3%) died. Compared with the survivors, the non-survivors were older, included less females, had more comorbidities, comprised more patients with a pacemaker and New York Heart Association (NYHA) functional class III/IV, had a higher Society of Thoracic Surgeons (STS) score, worse laboratory data, and worse cardiac function. Cox regression analysis showed NYHA functional class III/IV [hazard ratio (HR): 2.134, 95% confidence interval (CI): 1.193-3.816, P=0.011], estimated glomerular filtration rate (eGFR; HR: 0.990, 95% CI: 0.980-1.000, P=0.044), and RVSD4 (HR: 1.028, 95% CI: 1.024-1.032, P<0.001) were independent risk factors for the mortality of patients after TAVR, and the fully adjusted multivariable HR of RV dyssynchrony was 4.008 (95% CI: 2.541-6.323). Additionally, a graded association between RV dyssynchrony and mortality at 3 years (P<0.001) was robustly revealed by Kaplan-Meier analyses.
RV dyssynchrony is an independent and robust risk factor for 3-year mortality in patients with severe AS undergoing TAVR, and RVSD4 can be utilized as a risk stratification tool to prognosticate the long-term mortality of those patients."
PubMed,aortic stenosis,Cardiac computed tomography-derived left atrial volume index as a predictor of major adverse cardiovascular events after transcatheter aortic valve replacement.,Jiaming Li; Jun Shu; Jin Zhang; Yao Zhao; Jian Yang; Hongliang Zhao; Minwen Zheng,10.21037/qims-2026-1-0032,2026-06-01,Quantitative imaging in medicine and surgery,"Left atrial volume index (LAVI) has been recognized as a significant indicator of left heart remodeling and diastolic dysfunction. This study aimed to investigate the association between LAVI assessed by coronary computed tomography angiography (CCTA) and major adverse cardiovascular events (MACEs) in patients with severe aortic stenosis (AS) after transcatheter aortic valve replacement (TAVR).
This retrospective single-center study enrolled patients with severe AS undergoing TAVR between February 2020 and June 2024. All patients underwent CCTA examination prior to TAVR. Left atrial (LA) volume was automatically quantified from CCTA images, and the LAVI was computed by indexing to body surface area (BSA). Univariate and Firth-penalized Cox proportional hazards regression analyses were used to determine the predictors of MACE. Additionally, restricted cubic spline analysis was performed to explore the relationship between LAVI and MACE.
A total of 206 patients (113 males, 93 females; mean age 68.11±8.01 years) were included in the final analysis. The incidence of MACE was 13.1% over a median follow-up time of 581 [interquartile range (IQR), 378-990] days. The LAVI was significantly higher in patients with MACE than in those without MACE [70.14 (54.81-84.12) vs. 51.19 (39.67-64.45) mL/m2, P<0.001]. After adjustment for clinical confounders and European System for Cardiac Operative Risk Evaluation (EuroSCORE II), LAVI ≥53.32 mL/m2 [hazard ratio (HR) =4.249, 95% confidence interval (CI): 1.585-11.394, P=0.001] and male sex (HR =2.864, 95% CI: 1.164-7.051, P=0.012) still independently predicted MACE. Restricted cubic spline results showed a nonlinear relationship between LAVI and MACE (P for nonlinearity =0.032).
Preprocedural CCTA-derived LAVI may aid risk stratification for MACE after TAVR in severe AS. Male patients warrant closer postprocedural attention."
PubMed,aortic stenosis,Use of Aprotinin in a Patient With a Renal Transplant for Redo Coronary Artery Bypass Graft Surgery.,Hafiz Muhmmad Shurjeel Latif,10.7759/cureus.108582,2026-05,Cureus,"We report a case of a high-risk redo coronary artery bypass graft (CABG) surgery performed on a 58-year-old patient admitted with a non-ST-segment elevation myocardial infarction (NSTEMI) and heart failure. The patient's medical history is significant for previous mechanical aortic valve replacement due to aortic stenosis, prior CABG, and closure of a patent foramen ovale (PFO). Additional comorbidities include type I diabetes mellitus, a history of right temporo-parietal ischaemic stroke, fatty liver disease, monoclonal gammopathy of unknown significance (MGUS), and renal transplantation. In this case, aprotinin infusion was utilised intraoperatively to manage perioperative bleeding. We focused on evaluating the effects of aprotinin on renal function and postoperative renal indices."
PubMed,aortic stenosis,Anomalous Aortic Origin of the Right Coronary Artery in Adults: Surgical Reimplantation With Intermediate-Term Results.,Dina Sabha; Mohammad Alomari; Laith Hyasat; Saif Yamin; Rana Alkirmeen; Ayman Hammoudeh; Pankaj Garg; Bahi Hyasat,10.1177/21501351261450105,2026-06-11,World journal for pediatric & congenital heart surgery,"BackgroundAnomalous aortic origin of the right coronary artery (AAORCA) with an intramural course is a rare but potentially life-threatening anomaly due to its association with exertional ischemia and sudden cardiac death. Surgical correction aims to eliminate the ischemic mechanism. This study reports a single-center experience with adult patients who underwent right coronary artery (RCA) reimplantation for AAORCA.MethodsA retrospective review was conducted of symptomatic adult patients with AAORCA who underwent RCA reimplantation between June 2017 and August 2024. Baseline clinical features, perioperative outcomes, and follow-up data were assessed.ResultsForty patients (85% [34/40] male; median age 44 years) were included. The most common presenting symptom was exertional chest pain (82.5%, [33/40]), followed by dyspnea (45%, [18/40]) and syncope or presyncope (30%, [12/40]). Coronary computed tomography angiography (CCTA) was performed to diagnose the high-risk coronary features. All patients underwent RCA reimplantation into the right sinus of Valsalva. One patient also received a saphenous-vein graft to the distal-RCA. There was no in-hospital or follow-up mortality. At a mean follow-up of 30.3 ± 20.5 months, 8/40 patients (20%) reported recurrent symptoms, including chest pain (10%, [4/40]), dyspnea on exertion (5%, [2/40]), and palpitation (5%, [2/40]). Surveillance CCTA or invasive angiography performed in 14 patients, including 8 symptomatic patients, confirmed the widely patent RCA with no ostial stenosis or kinking. Post operative exercise testing in all these patients was negative.ConclusionsIn adults with AAORCA and an intramural or interarterial course; reimplantation of the RCA into the right-sinus of Valsalva achieves excellent early- to midterm outcomes, with low mortality, symptom resolution, and durable coronary patency."
PubMed,aortic stenosis,Comparison of compressed sensing and conventional 4D flow MRI for turbulent kinetic energy assessment in healthy participants and patients with aortic stenosis.,Sungho Park; Jeong-Eun Yi; Ning Jin; Hojin Ha; Dongyeop Han; Su Ho Kim; Bae Young Lee; Alex J Barker; Hyungkyu Huh,10.1038/s41598-026-55843-9,2026-06-10,Scientific reports,"This study aims to evaluate the feasibility of turbulent kinetic energy (TKE) assessments using compressed sensing (CS)-accelerated three-dimensional time-resolved phase-contrast magnetic resonance imaging (4D flow MRI) in patients with aortic stenosis (AS). Conventional and CS 4D flow MRI (R = 2 with GRAPPA and R = 7.7 with CS, respectively) were sequentially acquired for voxel-wise comparison in healthy participants and patients. Total TKE was measured in both the ascending aorta (AAo) and the whole aortic region. The difference between GRAPPA and CS was expressed as the ratio of (CS 4D flow - Conventional 4D flow) to (Conventional 4D flow). A two-tailed paired t-test was used to assess statistical significance. In healthy participants, the maximum total TKE (TKEmax) measured by CS 4D flow MRI was substantially higher than that obtained with conventional 4D flow MRI, showing a 95.4% increase in the AAo region (0.74 ± 0.43 mJ by GRAPPA vs. 1.17 ± 0.72 mJ by CS; P = 0.053) and a 207.7% increase in the whole aortic region (1.13 ± 0.73 mJ by GRAPPA vs. 2.13 ± 0.95 mJ by CS; P = 0.006). In patients with AS, CS 4D flow MRI showed good agreement with conventional imaging, with only a 5.0% difference in TKEmax at the AAo (14.0 ± 4.6 mJ by GRAPPA vs. 14.8 ± 5.5 mJ by CS; P = 0.129) and a 7.4% difference in the whole region (16.3 ± 5.5 mJ by GRAPPA vs. 17.6 ± 6.5 mJ by CS; P = 0.050). CS 4D flow MRI demonstrated agreement, showing insignificant differences in total TKE measurements specifically within the AAo for AS patients. In healthy participants, CS-based TKE assessment showed larger relative differences compared with conventional 4D flow MRI, likely reflecting a low-TKE effect."
PubMed,aortic stenosis,Early Surgery for Asymptomatic Aortic Stenosis at 10 Years. Reply.,Duk-Hyun Kang,10.1056/NEJMc2605699,2026-06-11,The New England journal of medicine,
